nome,valor,quantidade
Óleo Dianteiro Cofap Bridgestone,595.42,49
Vela Dianteiro Cofap Lubrax,530.39,43
Amortecedor 175/65 R14 Bosch,779.07,19
Amortecedor 10mm Varga,160.89,116
Bateria de Óleo Bridgestone,623.24,65
Pastilha 10W40 Varga,750.51,88
Disco de Freio 10W40 Cofap,238.1,56
Filtro Moura 60Ah Continental,756.67,67
Amortecedor Moura 60Ah NGK,357.49,112
Pastilha 10mm Continental,312.27,143
Pneu Ventilado Bosch,363.0,139
Pastilha Moura 60Ah Pirelli,94.38,59
Parafuso 10W40 TRW,418.36,59
Pastilha 10W40 Continental,508.28,32
Disco de Freio de Óleo Cofap,434.19,56
Vela 175/65 R14 TRW,581.1,96
Amortecedor Ventilado Continental,761.51,114
Vela 10W40 Pirelli,103.75,105
Amortecedor Moura 60Ah Continental,423.79,34
Parafuso 10mm TRW,771.72,38
Vela Moura 60Ah Moura,586.63,139
Disco de Freio Ventilado Bosch,132.39,128
Filtro 10W40 Varga,635.35,48
Disco de Freio 175/65 R14 Continental,685.92,61
Parafuso Moura 60Ah Moura,533.11,19
Pastilha Dianteiro Cofap Continental,175.48,127
Parafuso NGK Iridium Pirelli,430.38,25
Parafuso 175/65 R14 TRW,788.46,134
Bateria 10mm Pirelli,57.08,136
Pastilha 10mm NGK,732.67,90
Pneu NGK Iridium NGK,358.57,138
Vela Traseira Bridgestone,731.07,113
Vela de Óleo Bosch,738.85,98
Correia de Óleo Continental,466.87,89
Vela Ventilado Pirelli,748.63,83
Filtro 175/65 R14 Bosch,360.78,57
Vela Moura 60Ah Continental,452.78,122
Vela Traseira NGK,614.17,64
Parafuso 10mm Varga,237.5,96
Parafuso NGK Iridium Moura,249.44,52
Bateria Traseira Cofap,468.77,52
Pneu Dentada Continental,372.83,119
Bateria Moura 60Ah Pirelli,650.39,136
Vela 175/65 R14 Moura,394.9,125
Disco de Freio Dianteiro Cofap Moura,498.55,137
Pneu NGK Iridium Lubrax,556.83,103
Pneu de Óleo TRW,175.33,145
Correia 10W40 Bosch,687.31,53
Pastilha Dianteiro Cofap Bridgestone,510.63,106
Correia Dianteiro Cofap TRW,517.69,98
Parafuso NGK Iridium Continental,36.29,130
Vela Dentada NGK,407.1,140
Bateria Traseira NGK,585.18,128
Pastilha de Óleo Pirelli,183.93,112
Filtro Ventilado Continental,659.38,132
Pastilha 10W40 Moura,412.93,74
Pneu Ventilado Moura,409.31,41
Pneu Moura 60Ah Cofap,28.23,102
Pastilha Traseira Cofap,508.71,130
Parafuso 10W40 NGK,323.39,81
Filtro Moura 60Ah NGK,53.99,16
Vela 175/65 R14 NGK,589.44,114
Parafuso Dianteiro Cofap Cofap,473.79,122
Óleo 10W40 Pirelli,645.95,137
Amortecedor Traseira Bridgestone,337.24,69
Óleo NGK Iridium Moura,369.51,66
Pastilha 10mm TRW,376.53,92
Pneu Traseira Lubrax,240.11,69
Bateria 10W40 TRW,471.53,22
Pastilha 10W40 Lubrax,151.22,66
Correia 10mm Bridgestone,53.7,117
Disco de Freio Dianteiro Cofap Pirelli,446.07,59
Pastilha 175/65 R14 Pirelli,210.28,139
Bateria Ventilado TRW,63.8,41
Disco de Freio NGK Iridium NGK,595.69,82
Filtro 175/65 R14 Continental,682.22,130
Amortecedor Dianteiro Cofap Bridgestone,303.1,21
Parafuso Moura 60Ah Lubrax,138.69,81
Filtro Moura 60Ah Moura,351.36,27
Parafuso Dentada Pirelli,151.08,136
Óleo 175/65 R14 TRW,169.11,122
Pastilha NGK Iridium Lubrax,668.52,10
Pneu 175/65 R14 Continental,557.24,55
Correia NGK Iridium Moura,316.87,83
Correia Dentada Bridgestone,282.46,91
Pastilha NGK Iridium NGK,68.37,65
Pneu 10mm Lubrax,371.38,49
Óleo Traseira Bosch,720.47,110
Amortecedor de Óleo Bosch,225.64,42
Correia Traseira Bridgestone,664.51,61
Disco de Freio Dentada Bosch,729.46,26
Pastilha Moura 60Ah Bosch,675.06,76
Bateria Ventilado Cofap,530.61,109
Disco de Freio Dentada Pirelli,592.43,97
Amortecedor 10W40 Moura,269.18,55
Parafuso 175/65 R14 Cofap,145.96,149
Vela Ventilado Cofap,762.74,110
Pastilha Moura 60Ah Continental,77.76,130
Bateria Dentada Continental,420.13,88
Óleo 10mm Continental,19.84,31
Amortecedor Dentada Bosch,500.64,52
Óleo Traseira Cofap,538.4,93
Óleo Traseira Continental,205.31,127
Pneu 10W40 Cofap,63.95,141
Parafuso de Óleo Cofap,344.74,82
Filtro Moura 60Ah Varga,581.79,19
Parafuso Ventilado Varga,326.74,133
Correia Dentada TRW,538.71,146
Bateria NGK Iridium Continental,283.53,119
Vela Dentada Lubrax,94.88,117
Óleo 10W40 NGK,739.64,77
Parafuso de Óleo Continental,484.37,35
Amortecedor Traseira NGK,273.58,124
Amortecedor NGK Iridium NGK,152.41,12
Correia Traseira Varga,249.16,72
Correia de Óleo Varga,641.64,128
Óleo Moura 60Ah Lubrax,158.49,96
Correia de Óleo Pirelli,684.02,102
Correia 175/65 R14 Bosch,333.58,57
Correia de Óleo Moura,123.93,42
Correia 10mm Varga,784.06,134
Pneu de Óleo Continental,452.57,68
Vela NGK Iridium Bridgestone,532.78,35
Vela Dentada Bosch,404.87,23
Vela 10W40 Moura,514.46,53
Pastilha de Óleo TRW,150.02,55
Amortecedor NGK Iridium Bosch,55.61,28
Parafuso Dianteiro Cofap Lubrax,443.09,87
Pneu Dentada TRW,332.5,86
Bateria 10mm Lubrax,375.8,132
Bateria Dianteiro Cofap Bridgestone,794.22,68
Parafuso 175/65 R14 Bosch,786.96,139
Filtro de Óleo Moura,726.25,72
Bateria 175/65 R14 Continental,235.09,113
Vela de Óleo Cofap,787.12,84
Pastilha Dentada NGK,117.92,117
Óleo Traseira Pirelli,598.97,105
Disco de Freio Ventilado Cofap,108.71,143
Pneu 175/65 R14 Bridgestone,782.3,33
Bateria Dentada NGK,471.68,88
Vela NGK Iridium Pirelli,588.02,38
Óleo NGK Iridium Pirelli,46.78,118
Vela 175/65 R14 Bosch,505.02,136
Correia Ventilado Continental,204.48,120
Disco de Freio Dianteiro Cofap Bosch,121.18,36
Pastilha 10mm Bridgestone,790.31,20
Correia Dianteiro Cofap Pirelli,185.45,124
Vela 10W40 Lubrax,426.59,81
Disco de Freio Ventilado TRW,217.16,73
Disco de Freio Ventilado NGK,289.15,93
Filtro de Óleo Pirelli,701.1,23
Correia 10mm NGK,469.15,150
Pneu 175/65 R14 Pirelli,378.74,82
Parafuso 10mm Cofap,607.44,149
Bateria Dentada TRW,510.56,108
Disco de Freio Dentada Moura,338.14,93
Disco de Freio Dianteiro Cofap Varga,389.88,120
Pneu Moura 60Ah Moura,530.14,147
Pastilha de Óleo Varga,741.01,24
Amortecedor Dentada Moura,494.07,149
Filtro Dianteiro Cofap Varga,631.86,124
Filtro Moura 60Ah Bridgestone,794.56,140
Bateria Dentada Pirelli,374.69,67
Óleo 175/65 R14 Bosch,114.32,26
Vela de Óleo TRW,268.18,127
Pneu 175/65 R14 Moura,386.46,58
Pneu de Óleo Cofap,307.82,51
Correia 175/65 R14 Continental,552.38,131
Bateria de Óleo Lubrax,721.13,28
Amortecedor Traseira Varga,600.91,131
Disco de Freio Moura 60Ah NGK,544.77,46
Correia Dianteiro Cofap Cofap,334.37,104
Disco de Freio Moura 60Ah Cofap,410.29,11
Parafuso 175/65 R14 Continental,306.79,119
Correia de Óleo Bridgestone,285.48,48
Filtro Moura 60Ah Pirelli,138.22,51
Parafuso Dianteiro Cofap Continental,762.91,65
Pastilha 10W40 TRW,202.88,70
Amortecedor de Óleo Varga,580.64,72
Correia NGK Iridium Pirelli,326.43,134
Bateria NGK Iridium Cofap,104.09,21
Óleo NGK Iridium TRW,91.43,122
Amortecedor Ventilado NGK,141.07,70
Disco de Freio Moura 60Ah Pirelli,686.35,36
Bateria NGK Iridium Varga,606.45,134
Correia Ventilado Lubrax,362.06,117
Pastilha Moura 60Ah Bridgestone,128.31,100
Pastilha Ventilado Continental,144.72,55
Correia 175/65 R14 NGK,147.01,138
Disco de Freio 10W40 Varga,702.35,45
Filtro de Óleo Lubrax,643.39,141
Amortecedor Ventilado Moura,431.32,66
Vela Moura 60Ah Pirelli,513.88,112
Correia Dentada Bosch,470.24,57
Bateria Moura 60Ah Lubrax,504.45,129
Pastilha Moura 60Ah Lubrax,549.48,22
Correia Ventilado Varga,86.69,135
Filtro Dianteiro Cofap Continental,21.78,91
Parafuso Traseira NGK,664.59,88
Filtro 10W40 TRW,200.49,82
Óleo Ventilado Varga,666.48,114
Correia de Óleo Cofap,762.62,144
Vela de Óleo Bridgestone,745.79,127
Parafuso NGK Iridium NGK,641.71,98
Filtro 10mm Bridgestone,163.44,101
Disco de Freio de Óleo Pirelli,365.6,51
Parafuso Ventilado Continental,570.58,143
Pneu Dianteiro Cofap Continental,613.12,90
Pastilha NGK Iridium Continental,629.64,124
Disco de Freio 175/65 R14 Moura,313.48,49
Parafuso 10mm Lubrax,183.15,51
Pneu Moura 60Ah Varga,192.74,144
Correia Traseira Lubrax,637.71,47
Amortecedor Moura 60Ah Varga,560.67,73
Pneu Dentada Bosch,478.06,92
Disco de Freio Dentada NGK,716.17,11
Disco de Freio 175/65 R14 Bridgestone,481.21,33
Amortecedor 175/65 R14 Pirelli,677.77,113
Disco de Freio Traseira Moura,798.85,125
Disco de Freio Dentada Lubrax,98.39,28
Óleo Ventilado Bridgestone,438.55,149
Pastilha Ventilado Lubrax,562.05,98
Pastilha Ventilado Pirelli,617.13,25
Amortecedor Moura 60Ah Cofap,580.65,20
Filtro Dianteiro Cofap Lubrax,606.76,144
Amortecedor Dentada Continental,727.19,24
Pastilha 175/65 R14 Moura,136.5,111
Vela Dentada Continental,152.25,62
Filtro 175/65 R14 Pirelli,377.54,43
Parafuso 10W40 Varga,689.5,120
Disco de Freio Dentada Cofap,650.48,33
Disco de Freio NGK Iridium Lubrax,579.86,123
Pastilha Dianteiro Cofap NGK,58.52,79
Amortecedor de Óleo TRW,565.18,93
Parafuso 10mm Continental,135.43,81
Bateria Ventilado Bosch,565.35,110
Amortecedor 10W40 Pirelli,133.58,68
Óleo Dentada Bosch,773.21,43
Correia NGK Iridium TRW,745.59,48
Correia Dianteiro Cofap Lubrax,579.69,148
Bateria 10W40 Bosch,564.42,107
Amortecedor de Óleo Moura,168.97,88
Pneu NGK Iridium Moura,83.86,97
Óleo Dentada TRW,196.75,78
Amortecedor NGK Iridium Moura,523.04,89
Pastilha Moura 60Ah Moura,10.26,54
Correia Moura 60Ah Pirelli,259.3,59
Óleo Moura 60Ah Bridgestone,216.22,129
Pneu 10mm Cofap,313.08,46
Disco de Freio 10W40 NGK,744.37,147
Vela Moura 60Ah Varga,262.54,15
Filtro 10mm Continental,768.05,139
Óleo de Óleo Moura,74.78,56
Pastilha Dentada Bosch,92.45,74
Pneu 175/65 R14 Bosch,557.57,76
Filtro 10W40 NGK,99.51,58
Parafuso 175/65 R14 Moura,796.68,11
Disco de Freio de Óleo Bridgestone,20.93,60
Vela 10mm TRW,554.09,67
Amortecedor 10mm Pirelli,64.48,41
Correia de Óleo Lubrax,291.06,92
Correia Moura 60Ah Moura,674.72,94
Disco de Freio de Óleo Bosch,619.94,18
Correia Traseira Cofap,266.74,139
Pastilha de Óleo Moura,338.4,138
Pastilha Traseira Lubrax,489.32,41
Bateria Dianteiro Cofap Cofap,540.03,11
Filtro 10W40 Pirelli,490.46,140
Pneu 175/65 R14 TRW,123.53,84
Amortecedor 10mm Bridgestone,223.18,21
Vela de Óleo Moura,69.0,78
Pastilha Traseira Bridgestone,301.78,95
Disco de Freio Traseira Varga,305.78,112
Pneu Moura 60Ah NGK,478.11,79
Amortecedor Dianteiro Cofap Varga,740.92,48
Filtro Dianteiro Cofap Bosch,731.38,44
Pastilha NGK Iridium TRW,451.32,105
Pastilha NGK Iridium Cofap,586.94,127
Amortecedor 10mm Bosch,212.47,88
Óleo NGK Iridium Varga,354.75,25
Pneu Dianteiro Cofap Pirelli,112.23,65
Correia 10W40 Cofap,314.06,69
Filtro 175/65 R14 Varga,495.94,111
Pneu Dianteiro Cofap NGK,338.2,99
Pastilha de Óleo Bridgestone,658.66,59
Vela NGK Iridium Cofap,790.96,66
Pneu de Óleo Bridgestone,619.28,68
Parafuso Moura 60Ah Varga,699.43,88
Pneu 175/65 R14 NGK,465.72,149
Pastilha Dentada Cofap,312.95,131
Bateria Traseira Lubrax,667.62,64
Disco de Freio Traseira Continental,603.51,91
Bateria Traseira Bridgestone,121.24,79
Parafuso de Óleo NGK,108.86,148
Amortecedor Traseira Bosch,370.66,34
Filtro 10mm TRW,781.36,62
Amortecedor Moura 60Ah TRW,545.97,73
Correia Moura 60Ah Varga,610.45,73
Amortecedor Dentada TRW,292.81,97
Disco de Freio 10mm NGK,777.65,92
Filtro NGK Iridium NGK,467.2,115
Correia Dentada Varga,560.21,130
Pneu Dentada Moura,165.86,29
Correia 175/65 R14 Moura,674.26,79
Parafuso 10W40 Moura,577.21,67
Vela Ventilado Bosch,686.72,34
Óleo Ventilado Continental,392.04,53
Amortecedor Dianteiro Cofap Moura,327.13,75
Óleo NGK Iridium Bridgestone,18.7,143
Pastilha Traseira Pirelli,631.27,51
Óleo 10mm Cofap,725.16,18
Bateria Dianteiro Cofap Lubrax,48.77,98
Filtro de Óleo Bridgestone,601.96,128
Parafuso Dianteiro Cofap TRW,153.1,122
Disco de Freio Dianteiro Cofap Continental,606.66,101
Pneu Moura 60Ah Lubrax,179.55,50
Amortecedor de Óleo NGK,786.43,64
Pastilha de Óleo Cofap,633.66,21
Correia Dianteiro Cofap Varga,584.48,36
Disco de Freio 10W40 Pirelli,572.58,32
Pastilha Dianteiro Cofap Lubrax,665.93,63
Disco de Freio 10mm Lubrax,277.42,52
Bateria 10W40 Cofap,638.39,53
Disco de Freio Ventilado Lubrax,566.96,134
Óleo 10W40 Bridgestone,269.16,124
Filtro 10mm Bosch,462.51,26
Pastilha Dianteiro Cofap Bosch,609.65,59
Pastilha Dentada Lubrax,38.48,14
Amortecedor 10W40 TRW,594.08,143
Correia NGK Iridium Bridgestone,210.7,87
Pastilha Traseira Varga,496.85,59
Óleo Dentada Varga,94.98,77
Pneu Traseira Cofap,302.14,124
Filtro 10W40 Continental,39.2,137
Vela 175/65 R14 Continental,595.99,25
Parafuso de Óleo Lubrax,240.74,17
Parafuso Ventilado NGK,733.71,144
Parafuso Dentada Cofap,100.56,23
Pneu 10W40 Pirelli,21.51,11
Filtro Dentada Cofap,29.03,42
Bateria Dentada Lubrax,793.02,76
Parafuso 175/65 R14 Lubrax,117.28,12
Bateria Moura 60Ah Cofap,44.12,34
Parafuso Traseira Moura,386.0,122
Óleo Dentada Cofap,105.95,132
Disco de Freio Dianteiro Cofap NGK,56.86,148
Disco de Freio NGK Iridium TRW,45.61,72
Parafuso Moura 60Ah TRW,36.65,133
Pneu Moura 60Ah TRW,735.38,56
Filtro Dentada Varga,534.0,140
Bateria 10mm Bosch,283.01,95
Óleo Ventilado Pirelli,319.78,67
Amortecedor Moura 60Ah Bridgestone,276.92,115
Bateria Ventilado Continental,669.02,62
Bateria 175/65 R14 Bridgestone,445.64,118
Óleo Traseira NGK,270.38,36
Parafuso Dianteiro Cofap Varga,417.74,36
Bateria Ventilado NGK,576.54,32
Pastilha NGK Iridium Pirelli,77.25,120
Bateria 10W40 Moura,685.12,29
Pastilha 175/65 R14 Continental,556.27,53
Pneu 10W40 Continental,512.68,109
Óleo Dianteiro Cofap Moura,189.52,133
Parafuso Ventilado Lubrax,447.0,45
Pneu Dentada NGK,188.4,43
Vela 10mm Moura,674.12,86
Pneu 10mm TRW,479.74,137
Pneu Traseira Bosch,148.92,126
Óleo 10W40 Bosch,670.92,107
Vela 10W40 Continental,769.91,23
Correia NGK Iridium Lubrax,789.4,84
Vela Ventilado Varga,421.23,145
Amortecedor Traseira Continental,259.41,34
Amortecedor NGK Iridium Lubrax,749.48,108
Óleo Traseira Moura,417.93,117
Vela Dentada Cofap,331.49,133
Pneu Dentada Cofap,665.94,68
Óleo Dentada Moura,688.18,131
Filtro NGK Iridium TRW,88.67,66
Óleo 175/65 R14 NGK,650.59,18
Bateria Traseira Varga,402.83,97
Óleo Dianteiro Cofap Pirelli,638.13,74
Filtro Moura 60Ah Lubrax,697.3,54
Óleo 10mm Bridgestone,122.4,117
Pneu NGK Iridium Varga,113.5,73
Filtro 10W40 Bosch,627.84,27
Vela Traseira Varga,771.26,118
Parafuso Traseira Pirelli,625.51,43
Parafuso NGK Iridium Bosch,472.15,51
Correia Dianteiro Cofap Continental,574.91,17
Correia Dianteiro Cofap Moura,163.51,128
Amortecedor 10mm NGK,545.15,36
Óleo NGK Iridium NGK,203.31,75
Pneu de Óleo Lubrax,743.39,97
Pneu 175/65 R14 Cofap,372.47,133
Pneu NGK Iridium TRW,562.5,134
Filtro Dentada Bridgestone,136.98,66
Parafuso NGK Iridium TRW,384.41,19
Filtro Dentada Bosch,192.51,82
Filtro NGK Iridium Moura,693.22,48
Pastilha Traseira Moura,781.55,124
Filtro Traseira Varga,558.38,123
Bateria NGK Iridium TRW,222.83,74
Vela Dentada Varga,181.14,109
Amortecedor NGK Iridium Pirelli,729.11,46
Disco de Freio Dentada Continental,432.18,67
Pneu Ventilado Continental,93.64,145
Vela de Óleo NGK,311.19,34
Amortecedor 10mm Lubrax,633.96,120
Disco de Freio 10mm Bosch,533.08,49
Amortecedor 10mm Cofap,697.48,20
Filtro Traseira Bosch,359.8,145
Correia 10W40 Pirelli,509.98,14
Parafuso Ventilado Moura,383.2,13
Disco de Freio Traseira Bridgestone,23.68,77
Pastilha Moura 60Ah Cofap,292.28,30
Óleo Moura 60Ah Bosch,703.02,126
Óleo 175/65 R14 Pirelli,247.71,44
Disco de Freio de Óleo Continental,109.27,128
Óleo 10mm Moura,669.48,19
Disco de Freio de Óleo NGK,169.16,28
Disco de Freio 10mm TRW,360.74,76
Pastilha NGK Iridium Bridgestone,338.78,135
Parafuso Moura 60Ah NGK,100.09,26
Parafuso 10W40 Bridgestone,474.06,140
Amortecedor Moura 60Ah Lubrax,642.32,83
Parafuso Dentada Bosch,690.96,19
Vela Dianteiro Cofap Cofap,142.79,121
Pastilha Dianteiro Cofap Cofap,292.61,109
Filtro 175/65 R14 Cofap,191.42,31
Disco de Freio 10mm Cofap,612.9,11
Disco de Freio Traseira NGK,52.61,77
Disco de Freio 10mm Varga,502.02,140
Vela 175/65 R14 Lubrax,56.26,80
Disco de Freio de Óleo Varga,556.93,108
Óleo de Óleo TRW,782.17,42
Pneu Moura 60Ah Continental,260.01,100
Vela Ventilado Continental,493.6,137
Bateria Ventilado Pirelli,421.85,25
Parafuso 10W40 Continental,34.74,148
Vela Ventilado Bridgestone,248.08,62
Disco de Freio NGK Iridium Bosch,328.43,115
Parafuso Dianteiro Cofap Moura,433.32,19
Pastilha 10mm Lubrax,701.8,142
Pneu 10mm Bridgestone,108.87,147
Vela 10mm Bosch,374.89,128
Correia 175/65 R14 Cofap,575.63,23
Correia 10mm Cofap,783.42,24
Correia 175/65 R14 Bridgestone,575.54,78
Bateria 10W40 Lubrax,83.91,146
Vela de Óleo Continental,140.67,114
Parafuso de Óleo Varga,770.62,63
Bateria Ventilado Varga,745.81,130
Parafuso Moura 60Ah Bosch,261.81,132
Pneu 10W40 Varga,610.48,17
Parafuso de Óleo TRW,203.44,12
Disco de Freio Dianteiro Cofap Bridgestone,432.34,103
Pneu NGK Iridium Pirelli,293.06,13
Óleo Moura 60Ah Cofap,647.61,104
Pastilha Traseira Continental,196.1,44
Vela Moura 60Ah Lubrax,28.68,85
Vela de Óleo Lubrax,156.07,82
Correia 175/65 R14 Pirelli,470.8,61
Amortecedor Dentada NGK,31.61,18
Óleo de Óleo Continental,748.39,28
Bateria Dianteiro Cofap TRW,252.64,80
Disco de Freio 10mm Pirelli,722.88,83
Bateria Moura 60Ah NGK,52.78,26
Pastilha Traseira NGK,404.51,20
Filtro Ventilado Bosch,462.35,117
Filtro Traseira Lubrax,439.34,44
Parafuso Dianteiro Cofap Pirelli,366.91,136
Vela 10mm Lubrax,443.69,67
Disco de Freio 10W40 Bridgestone,75.57,67
Amortecedor NGK Iridium TRW,681.78,105
Vela Dianteiro Cofap Pirelli,268.33,78
Vela Dianteiro Cofap Moura,646.95,26
Óleo Dentada Pirelli,464.8,19
Vela Ventilado Moura,470.49,28
Óleo 175/65 R14 Bridgestone,531.33,110
Pneu Traseira Pirelli,75.66,62
Óleo 175/65 R14 Lubrax,214.99,109
Vela Traseira Pirelli,281.22,46
Pneu de Óleo Pirelli,85.36,42
Filtro Ventilado Bridgestone,44.66,96
Filtro de Óleo TRW,273.19,149
Óleo Dentada Bridgestone,26.29,84
Correia 10W40 Bridgestone,604.76,85
Amortecedor Moura 60Ah Pirelli,44.36,149
Pneu de Óleo NGK,158.14,130
Bateria Moura 60Ah Bosch,38.68,92
Disco de Freio NGK Iridium Bridgestone,565.46,135
Parafuso Traseira Bosch,168.36,53
Amortecedor 10W40 Continental,11.6,49
Amortecedor 175/65 R14 NGK,17.94,111
Óleo de Óleo Varga,284.09,54
Parafuso 10W40 Bosch,622.04,29
Pastilha 175/65 R14 Varga,315.07,85
Correia Ventilado Pirelli,761.33,127
Filtro Dianteiro Cofap Moura,731.37,90
Disco de Freio Dianteiro Cofap Lubrax,413.25,96
Filtro NGK Iridium Pirelli,742.13,137
Pastilha NGK Iridium Varga,600.31,139
Parafuso 10W40 Cofap,758.82,96
Pneu Traseira NGK,223.94,134
Parafuso 175/65 R14 Varga,364.83,94
Pastilha 10W40 NGK,215.48,45
Óleo de Óleo Bridgestone,444.86,100
Amortecedor Ventilado TRW,175.19,45
Bateria Ventilado Moura,197.25,11
Bateria 10mm Moura,531.12,42
Pastilha 175/65 R14 Lubrax,687.3,68
Parafuso Traseira Bridgestone,474.53,96
